date,Observed,Predicted_TVGM
1984-01-31,0.0,0.008492467353122035
1984-02-01,0.0,0.003238637563570068
1984-02-02,0.0,0.0028902608497938242
1984-02-03,0.0,0.0
1984-02-04,0.0,0.0
1984-02-05,0.0,0.0
1984-02-06,0.0,0.0
1984-02-07,0.0,0.0
1984-02-08,0.0,0.0
1984-02-09,0.0,0.0
1984-02-10,0.0,0.0
1984-02-11,0.0,0.006024106526250461
1984-02-12,0.0,0.00370725222232543
1984-02-13,0.0,0.016826730793137956
1984-02-14,0.0,0.004861844693059558
1984-02-15,0.0,0.014932064347848162
1984-02-16,0.0,0.014615902274824122
1984-02-17,0.0,0.0007892585371255256
1984-02-18,0.0,0.0
1984-02-19,0.0,0.0
1984-02-20,0.0,0.0
1984-02-21,0.0,0.03961267312977329
1984-02-22,0.0,0.002739685498448663
1984-02-23,0.0,0.036899686292856615
1984-02-24,0.0,0.0
1984-02-25,0.0,0.03676442318752371
1984-02-26,0.0,0.031128250758283904
1984-02-27,0.0,0.024638946031214082
1984-02-28,0.0,0.0
1984-02-29,0.0,0.015764523177670686
1984-03-01,0.0,0.025959575549978353
1984-03-02,0.0,0.02358762824971189
1984-03-03,0.0,0.022729182929191127
1984-03-04,0.0,0.02562341687853953
1984-03-05,0.0,0.025155146426625807
1984-03-06,0.0,0.03539365113362031
1984-03-07,0.0,0.027266127619165137
1984-03-08,0.0,0.026801278911285586
1984-03-09,0.0,0.026452158638525625
1984-03-10,0.0,0.0320759957091904
1984-03-11,0.0,0.02420324002513763
1984-03-12,0.0,0.03263605371381634
1984-03-13,0.0,0.02860448640513419
1984-03-14,0.0,0.05468756873719388
1984-03-15,0.0,0.059710496854622985
1984-03-16,0.0,0.032481422678205196
1984-03-17,0.0,0.08707386972701014
1984-03-18,0.0,0.041132574740378625
1984-03-19,0.0,0.08357746619289536
1984-03-20,0.0,0.09205667709354132
1984-03-21,0.0,0.13367108745520545
1984-03-22,0.0,0.03952237097063843
1984-03-23,0.0,0.13214038198662786
1984-03-24,0.0,0.12502005992628312
1984-03-25,0.0,0.12245479023595995
1984-03-26,0.0,0.07042744826747338
1984-03-27,0.0,0.09191218040370924
1984-03-28,0.0,0.0819180136661315
1984-03-29,0.0,0.06955243772972991
1984-03-30,0.0,0.05906701845670975
1984-03-31,0.0,0.05404969496083123
1984-04-01,0.093,0.07955311364561174
1984-04-02,0.13,0.07892720224718477
1984-04-03,0.16,0.12977671474413857
1984-04-04,0.18,0.14856126307851364
1984-04-05,0.2,0.2256096365032367
1984-04-06,0.22,0.26983260173867374
1984-04-07,0.24,0.4307859511702599
1984-04-08,0.44,0.5378732806395286
1984-04-09,0.73,1.1083910604944796
1984-04-10,1.11,0.9415690415126599
1984-04-11,1.8,1.3512761751929567
1984-04-12,2.22,1.9200511400318265
1984-04-13,3.36,2.8096752502907245
1984-04-14,3.36,3.4265677497109124
1984-04-15,3.36,3.334463456964782
1984-04-16,4.1,3.654403576366885
1984-04-17,3.71,3.7208545241795012
1984-04-18,3.25,3.380900026939243
